Time,CForce,BForce,AForce,DForce
1.26,0.507274682,-0.034483046,-0.007062792,-0.103033678
1.27,0.507274682,-0.04113038,-0.013710127,-0.103033678
1.28,0.513922016,-0.034483046,-0.007062792,-0.103033678
1.29,0.513922016,-0.034483046,-0.007062792,-0.103033678
1.3,0.513922016,-0.034483046,-0.020772919,-0.095970886
1.31,0.507274682,-0.034483046,-0.007062792,-0.095970886
1.32,0.520984809,-0.04113038,-0.013710127,-0.103033678
1.33,0.513922016,-0.034483046,-0.013710127,-0.095970886
1.34,0.507274682,-0.04113038,-0.007062792,-0.095970886
1.35,0.513922016,-0.034483046,-0.013710127,-0.089323552
1.36,0.513922016,-0.034483046,-0.013710127,-0.089323552
1.37,0.520984809,-0.034483046,-0.013710127,-0.089323552
1.38,0.520984809,-0.034483046,-0.013710127,-0.089323552
1.39,0.527632143,-0.04113038,-0.013710127,-0.095970886
1.4,0.520984809,-0.04113038,-0.013710127,-0.103033678
1.41,0.520984809,-0.04113038,-0.013710127,-0.191941772
1.42,0.520984809,-0.048193172,-0.007062792,0.068550633
1.43,0.513922016,-0.048193172,-0.007062792,0.10261822
1.44,0.520984809,-0.048193172,0,0.10261822
1.45,0.527632143,-0.048193172,-0.013710127,0.075197967
1.46,0.527632143,-0.048193172,-0.007062792,0.027420253
1.47,0.527632143,-0.054840506,-0.013710127,-0.123391139
1.48,0.520984809,-0.048193172,-0.007062792,-0.65143874
1.49,0.520984809,-0.048193172,-0.007062792,-1.378075447
1.5,0.527632143,-0.048193172,-0.007062792,-1.857929877
1.51,0.520984809,-0.04113038,-0.007062792,-2.179910121
1.52,0.527632143,-0.04113038,-0.020772919,-2.604924044
1.53,0.527632143,-0.048193172,-0.013710127,-2.872479241
1.54,0.513922016,-0.04113038,-0.013710127,-3.160391899
1.55,0.520984809,-0.048193172,-0.013710127,-3.633183536
1.56,0.520984809,-0.04113038,-0.013710127,-4.133810884
1.57,0.513922016,-0.04113038,-0.013710127,-4.558824807
1.58,0.513922016,-0.04113038,-0.013710127,-5.045742029
1.59,0.507274682,-0.04113038,-0.013710127,-5.580436964
1.6,0.50021189,-0.04113038,-0.013710127,-6.183682532
1.61,0.50021189,-0.034483046,-0.007062792,-6.704667341
1.62,0.493564556,-0.04113038,-0.013710127,-7.129681264
1.63,0.50021189,-0.04113038,-0.007062792,-7.349043289
1.64,0.493564556,-0.04113038,-0.013710127,-7.527274934
1.65,0.50021189,-0.04113038,-0.007062792,-7.588762775
1.66,0.486501763,-0.04113038,-0.013710127,-7.650666073
1.67,0.479854429,-0.04113038,0,-7.72586404
1.68,0.486501763,-0.034483046,-0.007062792,-7.808124799
1.69,0.493564556,-0.034483046,-0.007062792,-7.952288857
1.7,0.507274682,-0.034483046,-0.013710127,-7.952288857
1.71,0.50021189,-0.04113038,-0.007062792,-8.068617204
1.72,0.513922016,-0.034483046,-0.007062792,-8.103100249
1.73,0.520984809,-0.034483046,-0.013710127,-7.924868604
1.74,0.534694935,-0.04113038,-0.007062792,-7.595825567
1.75,0.534694935,-0.04113038,-0.007062792,-7.424241256
1.76,0.54134227,-0.034483046,-0.013710127,-7.198231897
1.77,0.54134227,-0.034483046,-0.007062792,-7.033710379
1.78,0.534694935,-0.04113038,-0.007062792,-6.992579999
1.79,0.54134227,-0.04113038,-0.013710127,-6.773217974
1.8,0.534694935,-0.034483046,-0.007062792,-6.450822271
1.81,0.534694935,-0.04113038,-0.007062792,-6.156262279
1.82,0.527632143,-0.04113038,-0.013710127,-5.888707082
1.83,0.527632143,-0.04113038,-0.013710127,-5.758668609
1.84,0.513922016,-0.034483046,-0.013710127,-5.580436964
1.85,0.520984809,-0.034483046,-0.013710127,-5.361074939
1.86,0.507274682,-0.04113038,-0.007062792,-5.216910881
1.87,0.513922016,-0.04113038,-0.007062792,-5.196553421
1.88,0.507274682,-0.04113038,-0.007062792,-5.210263547
1.89,0.493564556,-0.04113038,-0.007062792,-5.216910881
1.9,0.493564556,-0.034483046,-0.013710127,-5.134650122
1.91,0.486501763,-0.04113038,-0.013710127,-5.059452155
1.92,0.479854429,-0.04113038,-0.013710127,-5.086872408
1.93,0.479854429,-0.04113038,-0.013710127,-5.004611649
1.94,0.486501763,-0.034483046,-0.007062792,-4.936061016
1.95,0.486501763,-0.04113038,-0.007062792,-4.92235089
1.96,0.486501763,-0.04113038,-0.020772919,-4.928998224
1.97,0.486501763,-0.048193172,-0.013710127,-4.88122051
1.98,0.493564556,-0.034483046,-0.013710127,-4.819317212
1.99,0.493564556,-0.034483046,-0.007062792,-4.805607085
2,0.493564556,-0.04113038,-0.013710127,-4.750766579
2.01,0.493564556,-0.034483046,-0.013710127,-4.757829371
2.02,0.493564556,-0.027420253,-0.007062792,-4.764476705
2.03,0.50021189,-0.034483046,-0.007062792,-4.771539498
