"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.458529727E1,-1.364286304E0,-8.152961731E-3,1.481413841E-1,1.372329938E0
9.460321316E1,-1.369008780E0,-5.021476746E-2,2.044777870E-1,1.385105673E0
9.462112991E1,-1.314015865E0,1.864147186E-2,2.272949219E-1,1.333659694E0
9.463903818E1,-1.207081676E0,3.507423401E-2,2.918891907E-1,1.242366964E0
9.465696304E1,-1.151628733E0,7.104873657E-2,2.852878571E-1,1.188564606E0
9.467487722E1,-1.149571300E0,1.109328270E-1,2.652935982E-1,1.184989856E0
9.469279568E1,-1.155305266E0,9.865236282E-2,3.726243973E-1,1.217912759E0
9.471071200E1,-1.187501788E0,2.116298676E-2,4.207124710E-1,1.260002917E0
9.472862881E1,-1.234049797E0,-7.901668549E-3,1.540355682E-1,1.243651195E0
9.474654471E1,-1.324399114E0,-4.478406906E-2,1.467437744E-1,1.333256300E0
9.476444388E1,-1.347320437E0,-4.015636444E-2,3.555202484E-1,1.394015617E0
9.478237802E1,-1.329394341E0,-5.674362183E-4,2.549128532E-1,1.353613755E0
9.480029452E1,-1.283077359E0,3.534078598E-2,2.487740517E-1,1.307449812E0
9.481821054E1,-1.321292520E0,2.690553665E-2,3.467264175E-1,1.366293175E0
9.483612747E1,-1.312252045E0,9.025287628E-2,3.468008041E-1,1.360302102E0
9.485403378E1,-1.278949499E0,7.599115372E-2,3.652753830E-1,1.332258452E0
9.487196036E1,-1.221099257E0,2.232933044E-2,2.986698151E-1,1.257292987E0
9.488987625E1,-1.286113143E0,-3.116798401E-2,9.407949448E-2,1.289926126E0
9.490779306E1,-1.271886349E0,-4.468393326E-2,2.610826492E-2,1.272938796E0
9.492570926E1,-1.259257436E0,-3.236103058E-2,8.063793182E-2,1.262251560E0
9.494362631E1,-1.208698392E0,2.915096283E-2,2.013716698E-1,1.225704749E0
9.496154208E1,-1.180292964E0,3.205060959E-2,3.547482491E-1,1.232868623E0
9.497945858E1,-1.242087722E0,2.809715271E-2,4.151773453E-1,1.309940299E0
9.499736947E1,-1.269970417E0,-1.939868927E-2,3.332190514E-1,1.313101712E0
9.501529495E1,-1.258792400E0,-6.293869019E-2,2.807874680E-1,1.291263408E0
9.503320791E1,-1.309669137E0,-6.395530701E-2,1.187767982E-1,1.316598442E0
9.505112430E1,-1.352288008E0,-5.395984650E-2,5.177736282E-2,1.354354243E0
9.506904086E1,-1.303489566E0,-4.260301590E-2,7.888555527E-2,1.306569170E0
9.508694638E1,-1.287949562E0,-7.878017426E-2,1.138257980E-1,1.295367401E0
9.510487027E1,-1.325408220E0,-3.460168839E-2,1.835460663E-1,1.338504160E0
9.512279373E1,-1.287308097E0,-1.829671860E-2,1.579351425E-1,1.297089209E0
9.514070682E1,-1.248448849E0,2.326011658E-3,2.134933472E-1,1.266573862E0
9.515862362E1,-1.213742733E0,-5.551958084E-2,2.843370438E-1,1.247838692E0
9.517652859E1,-1.192419529E0,-4.124355316E-2,1.176509857E-1,1.198919146E0
9.519445730E1,-1.262251973E0,-4.466819763E-2,7.256078720E-2,1.265124642E0
9.521237149E1,-1.251002192E0,-7.284069061E-2,2.666025162E-1,1.281167106E0
9.523028915E1,-1.205578566E0,-1.491198540E-1,1.324701309E-1,1.221967571E0
9.524820535E1,-1.232004523E0,-1.773028374E-1,-6.916141510E-2,1.246617320E0
9.526611508E1,-1.282806993E0,-1.325011253E-1,-9.373188019E-3,1.289665920E0
9.528403842E1,-1.267992496E0,-8.275938034E-2,9.359312057E-2,1.274132551E0
9.530195498E1,-1.238668680E0,-6.209182739E-2,1.108107567E-1,1.245164454E0
9.531987106E1,-1.266313910E0,-4.642295837E-2,1.419639587E-1,1.275092066E0
9.533778769E1,-1.245906234E0,-3.600311279E-2,2.603425980E-1,1.273325110E0
9.535570419E1,-1.256735682E0,-9.391212463E-2,1.261739731E-1,1.266540143E0
9.537362070E1,-1.297627926E0,-1.117615700E-1,-5.229043961E-2,1.303481175E0
9.539153671E1,-1.265577912E0,-1.308584213E-1,1.132841110E-1,1.277358473E0
9.540945340E1,-1.242977023E0,-1.587333679E-1,-2.662181854E-2,1.253354253E0
9.542736709E1,-1.301559091E0,-1.912865639E-1,-1.673727036E-1,1.326144878E0
9.544528958E1,-1.280116200E0,-1.934013367E-1,5.613327026E-3,1.294655581E0
9.546320242E1,-1.203239083E0,-1.579985619E-1,1.085996628E-1,1.218417713E0
9.548111923E1,-1.159680367E0,-1.176824570E-1,4.927015305E-2,1.166677017E0
9.549903567E1,-1.157065988E0,-1.413216591E-1,1.107316017E-1,1.170912037E0
9.551694967E1,-1.201916695E0,-1.465258598E-1,-2.291631699E-2,1.211032091E0
9.553487131E1,-1.221747637E0,-1.560244560E-1,-5.255031586E-2,1.232790515E0
9.555278506E1,-1.241331458E0,-1.652278900E-1,-1.801967621E-3,1.252280836E0
9.557070169E1,-1.262283444E0,-1.790308952E-1,6.515979767E-3,1.274932945E0
9.558861142E1,-1.264265418E0,-1.639552116E-1,-8.115386963E-2,1.277432702E0
9.560653164E1,-1.266248107E0,-1.577248573E-1,-5.469655991E-2,1.277205196E0
9.562445364E1,-1.239681005E0,-1.654310226E-1,5.696964264E-2,1.251967236E0
9.564236722E1,-1.222554207E0,-1.794452667E-1,4.165506363E-2,1.236355344E0
9.566028409E1,-1.220112920E0,-1.639137268E-1,-9.362602234E-2,1.234629126E0
9.567819992E1,-1.221099138E0,-2.021183968E-1,-4.241514206E-2,1.238440146E0
9.569611660E1,-1.232050896E0,-2.112040520E-1,-8.673000336E-2,1.253027795E0
