"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.489417262E0,-3.363152593E-2,-3.825215995E-1,3.413581848E-2,3.855114885E-1
7.507341944E0,3.341532499E-2,-4.147353172E-1,1.915073395E-2,4.165197689E-1
7.525256434E0,-3.788367286E-2,-4.631568193E-1,9.569168091E-2,4.744536961E-1
7.543173853E0,9.252880700E-3,-4.044096470E-1,3.344631195E-2,4.058958415E-1
7.561091700E0,-4.763653874E-2,-4.517724812E-1,4.775333405E-2,4.567800297E-1
7.579006556E0,-5.152057856E-3,-3.878917098E-1,1.899242401E-2,3.883905694E-1
7.596929407E0,4.349578172E-3,-3.916530609E-1,-1.964569092E-4,3.916772620E-1
7.614844386E0,-9.887434542E-3,-3.713618517E-1,9.324073792E-3,3.716104474E-1
7.632761866E0,-2.735331655E-4,-3.942511082E-1,9.063339233E-2,4.045348229E-1
7.650679957E0,-2.860622108E-2,-3.696111143E-1,7.624721527E-2,3.784763262E-1
7.668597071E0,-4.251258448E-3,-3.543466926E-1,6.663703918E-2,3.605830649E-1
7.686515040E0,-1.781571284E-2,-4.307833910E-1,1.096754074E-1,4.448824840E-1
7.704423060E0,-3.275990859E-2,-3.148483336E-1,4.325294495E-2,3.194894396E-1
7.722347498E0,-2.698465995E-2,-4.099723995E-1,1.191997528E-1,4.278014975E-1
7.740270289E0,-5.048488826E-2,-4.052058160E-1,1.239614487E-1,4.267398716E-1
7.758185511E0,-2.622485161E-2,-4.086441100E-1,1.143589020E-1,4.251537486E-1
7.776103236E0,6.664272398E-3,-3.744687736E-1,8.561515808E-2,3.841890553E-1
7.794021021E0,-9.276673943E-2,-4.172541797E-1,1.238632202E-1,4.450267585E-1
7.811936793E0,2.144874819E-2,-3.632065356E-1,8.554172516E-2,3.737598467E-1
7.829856897E0,-7.414316759E-3,-3.957740664E-1,5.200195312E-2,3.992446454E-1
7.847773707E0,3.122522123E-2,-3.610683680E-1,9.980678558E-2,3.759079345E-1
7.865691615E0,-2.229657024E-3,-3.601461053E-1,4.712486267E-2,3.632229910E-1
7.883601893E0,-7.006766275E-3,-3.401769400E-1,8.537387848E-2,3.507964429E-1
7.901523890E0,-2.332823351E-3,-3.821743131E-1,9.908580780E-2,3.948172298E-1
7.919447290E0,-6.907927990E-2,-3.528266549E-1,5.658721924E-2,3.639515197E-1
7.937362269E0,-1.635460369E-2,-3.471501768E-1,6.612110138E-2,3.537693010E-1
