"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.387692265E1,1.240414381E-2,-2.713596821E-2,6.732664108E-1,6.739272094E-1
3.389482884E1,-1.825140044E-2,-1.618006825E-2,6.207628250E-1,6.212418154E-1
3.391276054E1,-3.239648417E-2,-2.925550938E-2,6.304912567E-1,6.320005078E-1
3.393067894E1,-3.826675192E-2,-4.766497016E-2,6.450347900E-1,6.479245126E-1
3.394859813E1,-1.896008477E-2,-7.064247131E-2,6.404228210E-1,6.445860945E-1
3.396651689E1,-1.790159196E-2,-6.909382343E-2,5.974969864E-1,6.017450226E-1
3.398443559E1,-4.107696936E-2,-6.753656268E-2,5.503826141E-1,5.560301491E-1
3.400235393E1,-4.960495234E-2,-7.440745831E-2,5.074052811E-1,5.152254268E-1
3.402027318E1,-4.985557497E-2,-8.448016644E-2,5.313568115E-1,5.403355791E-1
3.403819102E1,-6.045665592E-2,-7.534140348E-2,5.744543076E-1,5.825196012E-1
3.405611217E1,-7.142129540E-2,-4.831409454E-2,5.793247223E-1,5.857067415E-1
3.407402916E1,-7.098544389E-2,-4.150465131E-2,5.794534683E-1,5.852588242E-1
3.409194859E1,-4.553508013E-2,-3.164660931E-2,5.509729385E-1,5.537563818E-1
3.410985618E1,-6.157888845E-2,-1.414865255E-2,4.657268524E-1,4.699932392E-1
3.412778612E1,-5.430655181E-2,4.481226206E-3,4.091444016E-1,4.127571008E-1
3.414570445E1,-4.774541780E-2,1.636278629E-2,3.805751801E-1,3.839073239E-1
3.416362370E1,-5.082738400E-2,3.853291273E-3,4.046144485E-1,4.078126074E-1
3.418154246E1,-5.514211208E-2,-1.795580983E-2,3.951749802E-1,3.994074719E-1
3.419945122E1,-5.128536746E-2,-3.532600403E-2,4.090862274E-1,4.137990538E-1
3.421737669E1,-6.070020795E-2,-3.387433290E-2,4.044685364E-1,4.103983219E-1
3.423530174E1,-6.316644698E-2,-1.481321454E-2,3.855638504E-1,3.909845446E-1
3.425321776E1,-6.705638021E-2,1.409417391E-2,3.481302261E-1,3.548096084E-1
3.427113689E1,-7.027310133E-2,9.187698364E-3,3.394002914E-1,3.467207528E-1
3.428905510E1,-6.545227021E-2,2.248644829E-3,3.484792709E-1,3.545798335E-1
3.430697417E1,-7.536497712E-2,-2.167916298E-2,4.298009872E-1,4.368967321E-1
3.432489274E1,-7.586912811E-2,-3.148084879E-2,5.350646973E-1,5.413329832E-1
3.434281206E1,-8.216128498E-2,-3.973960876E-3,5.680294037E-1,5.739544168E-1
3.436073149E1,-9.415747225E-2,2.242410183E-2,5.448217392E-1,5.533526881E-1
3.437864818E1,-4.569049925E-2,4.398071766E-2,4.684076309E-1,4.726813239E-1
3.439656816E1,-2.999851480E-3,1.072247624E-1,3.639526367E-1,3.794307191E-1
3.441448729E1,-1.234847214E-2,1.085193157E-1,3.115291595E-1,3.301201961E-1
3.443240532E1,-7.565896027E-3,1.297004819E-1,2.500610352E-1,2.817977627E-1
3.445032091E1,2.185060270E-2,1.421631575E-1,2.023382187E-1,2.482510160E-1
3.446824669E1,4.818636179E-2,1.343316436E-1,1.833600998E-1,2.323528397E-1
3.448616264E1,5.304630846E-2,1.273699999E-1,2.116041183E-1,2.526130056E-1
3.450408080E1,5.178245902E-2,9.649413824E-2,2.829198837E-1,3.033746898E-1
3.452198149E1,3.203819692E-2,3.409641981E-2,3.118762970E-1,3.153661943E-1
3.453991502E1,-7.324704900E-3,-6.961822510E-5,2.451725006E-1,2.452819015E-1
3.455784160E1,-4.787737131E-2,-2.376186848E-2,1.114263535E-1,1.235827711E-1
3.457575627E1,-7.984691858E-2,-4.475444555E-2,3.017807007E-2,9.638053080E-2
3.459367516E1,-8.185489476E-2,-4.925841093E-2,4.453277588E-2,1.054029552E-1
3.461159380E1,-8.748739958E-2,-6.291115284E-2,9.712028503E-2,1.450662194E-1
3.462951292E1,-8.331924677E-2,-7.208082080E-2,1.593122482E-1,1.936959836E-1
3.464743108E1,-5.952893570E-2,-6.408357620E-2,8.763599396E-2,1.238162605E-1
3.466535063E1,-3.063889034E-2,-2.818715572E-2,-3.125000000E-2,5.205593001E-2
3.468326909E1,-8.718771860E-3,-4.668474197E-2,-7.974910736E-2,9.281919112E-2
3.470118852E1,7.455040701E-3,-3.043049574E-2,-5.560207367E-2,6.382149559E-2
3.471910667E1,3.352475539E-2,-3.147155046E-2,4.441928864E-2,6.393309718E-2
3.473702562E1,3.969857842E-2,-3.062433004E-2,1.391906738E-1,1.479454981E-1
3.475494438E1,2.781107277E-2,-1.202267408E-2,1.724557877E-1,1.750971135E-1
3.477286040E1,2.136926539E-2,2.504819632E-2,1.722602844E-1,1.753786282E-1
3.479078465E1,1.696697064E-2,6.197661161E-2,1.672887802E-1,1.792052300E-1
3.480870091E1,3.058304312E-3,5.424278975E-2,1.528339386E-1,1.622031019E-1
3.482661961E1,-9.304292500E-3,5.995976925E-2,1.485986710E-1,1.605095287E-1
3.484453862E1,-4.017165676E-2,3.828346729E-2,1.718072891E-1,1.805467543E-1
3.486245769E1,-4.511672258E-2,1.621139050E-2,2.051773071E-1,2.107037143E-1
3.488037504E1,-3.079540655E-2,-1.646825671E-2,1.764221191E-1,1.798452798E-1
3.489829491E1,-7.215810008E-3,-1.169854403E-2,1.238174438E-1,1.245780207E-1
3.491621428E1,-3.362603486E-3,3.297030926E-3,4.182815552E-3,6.298687249E-3
3.493412028E1,7.694084197E-4,-9.271502495E-3,-5.332756042E-2,5.413299778E-2
3.495204832E1,-2.330234088E-2,-2.158722281E-2,-4.385089874E-2,5.414710149E-2
3.496997288E1,-1.248973235E-2,-4.436948895E-2,-4.868602753E-2,6.704456906E-2
3.498788945E1,-3.362106159E-2,-4.305487871E-2,-4.399299622E-2,7.013901967E-2
3.500580748E1,-5.438271537E-2,-4.527965188E-2,-2.916431427E-2,7.653942666E-2
3.502372655E1,-4.742690176E-2,-7.029506564E-2,8.341789246E-3,8.520735128E-2
3.504164525E1,-5.394987017E-2,-7.110825181E-2,7.514667511E-2,1.166790245E-1
3.505956444E1,-6.216689199E-2,-9.253433347E-2,1.413841248E-1,1.800466497E-1
3.507748271E1,-5.699732900E-2,-7.225620747E-2,9.883594513E-2,1.350488766E-1
3.509540184E1,-6.287012994E-2,-3.273978829E-2,2.700519562E-2,7.585398847E-2
3.511332060E1,-6.334175915E-2,-1.611119509E-2,-1.139259338E-2,6.634410481E-2
3.513123973E1,-5.386958644E-2,-8.191466331E-3,4.110813141E-2,6.825621533E-2
3.514915794E1,-1.081011817E-2,-1.622706652E-3,8.351039886E-2,8.422279116E-2
3.516708110E1,7.082220167E-3,7.533252239E-3,8.353614807E-2,8.417360493E-2
3.518498137E1,-9.765896946E-3,1.562774181E-3,1.240062714E-2,1.586160647E-2
3.520291856E1,-3.531275317E-2,-3.259330988E-3,-4.025268555E-2,5.364599210E-2
3.522083324E1,-7.741198689E-2,-1.172503829E-2,-5.945301056E-2,9.830947412E-2
3.523875200E1,-9.913580120E-2,-2.861765027E-2,-6.434059143E-2,1.216001180E-1
