"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.033235354E1,-8.984431624E-4,-3.411814570E-3,-2.861213684E-2,2.882884065E-2
3.035026987E1,-3.361324966E-2,7.123053074E-4,4.317283630E-2,5.471975627E-2
3.036818417E1,3.595650196E-5,-1.275350153E-2,1.385307312E-2,1.882978303E-2
3.038609989E1,-9.415395558E-3,-1.760874689E-2,9.067535400E-3,2.193029500E-2
3.040401426E1,-9.621180594E-3,-4.186813533E-2,4.256248474E-2,6.047373793E-2
3.042193046E1,1.420007646E-2,-5.548714101E-2,3.677368164E-3,5.739327509E-2
3.043984489E1,-1.219362020E-4,-6.961198151E-2,-5.301475525E-3,6.981366973E-2
3.045776078E1,2.839963883E-2,-9.856164455E-2,5.152130127E-2,1.147840657E-1
3.047567479E1,1.833843440E-2,-8.317917585E-2,4.257202148E-3,8.528304194E-2
3.049358848E1,3.587350249E-3,-6.832808256E-2,9.034156799E-3,6.901602667E-2
3.051150871E1,-6.242826581E-3,-4.939326644E-2,3.235816956E-2,5.937776343E-2
3.052942150E1,2.994023263E-3,-4.835680127E-2,-1.012229919E-2,4.949550834E-2
3.054733550E1,-3.530956060E-2,-2.893614769E-2,-2.927112579E-2,5.422973832E-2
3.056525219E1,-3.055156022E-2,-3.917248547E-2,5.208683014E-2,7.197860324E-2
3.058316644E1,-1.691175252E-2,9.189248085E-3,-1.969432831E-2,2.753754203E-2
3.060108215E1,-4.029917717E-2,-1.498177648E-2,-2.926063538E-2,5.200636586E-2
3.061899670E1,-2.094683051E-2,-2.530853450E-2,2.338409424E-2,4.032502313E-2
3.063689801E1,-3.006935865E-2,-3.431087732E-2,-3.883266449E-2,5.991142181E-2
3.065482477E1,-2.544094622E-2,-5.342884362E-2,-5.331993103E-3,5.941643902E-2
3.067274567E1,-3.026264906E-2,-4.429283738E-2,3.294944763E-2,6.295513856E-2
3.069065741E1,-1.447863877E-3,-7.233494520E-2,-4.362297058E-2,8.448315909E-2
3.070857380E1,-2.537180483E-2,-6.293494999E-2,1.858043671E-2,7.035459501E-2
3.072648530E1,-6.596855819E-3,-7.677392662E-2,2.814292908E-2,8.203522885E-2
3.074440357E1,-2.112575620E-2,-2.782507241E-2,-4.768371582E-3,3.526002832E-2
3.076231825E1,-3.545499593E-2,-4.235336185E-2,1.855278015E-2,5.826722619E-2
3.078023445E1,-2.142842114E-2,-3.147497773E-3,3.350257874E-2,3.989369319E-2
3.079814894E1,-2.658495307E-2,-3.178687394E-2,-1.435279846E-2,4.385393834E-2
3.081606447E1,-5.564736947E-2,-1.777227223E-2,4.785728455E-2,7.551690588E-2
3.083397884E1,-8.158504963E-3,-3.140237927E-2,4.785537720E-3,3.279591436E-2
3.085189522E1,-2.777490765E-2,-2.655647695E-2,-9.568214417E-3,3.960104405E-2
3.086980959E1,-3.275091201E-2,-5.578225851E-2,2.811908722E-2,7.053343653E-2
3.088772689E1,-2.360892296E-2,-5.520994961E-2,-3.409004211E-2,6.904817703E-2
3.090563815E1,-4.296870530E-2,-5.116558075E-2,-2.391529083E-2,7.096595961E-2
3.092355575E1,-1.953034103E-2,-7.973192632E-2,4.200935364E-3,8.219648504E-2
3.094147043E1,-1.059132814E-2,-5.019178987E-2,-4.306221008E-2,6.697571156E-2
3.095937942E1,-5.292893946E-2,-7.442496717E-2,-3.349781036E-2,9.727616188E-2
3.097730032E1,-2.922937274E-4,-6.865379214E-2,1.853752136E-2,7.111306708E-2
3.099521659E1,8.434921503E-3,-4.912425578E-2,-2.872848511E-2,5.752969896E-2
3.101312802E1,-6.280437112E-2,-3.994828463E-2,1.433849335E-2,7.580136455E-2
3.103104941E1,4.119232297E-3,-2.461358905E-2,3.287506104E-2,4.127428350E-2
