"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.335462635E1,-1.862940025E1,-4.026000023E0,-5.357019806E1,5.685973400E1
8.336462635E1,-1.772659874E1,-3.598999977E0,-5.299679947E1,5.599862371E1
8.337462660E1,-1.744599915E1,-3.403800011E0,-5.339939880E1,5.628005449E1
8.338462635E1,-1.723859978E1,-3.147599936E0,-5.276499939E1,5.559875779E1
8.339460194E1,-1.737279892E1,-2.940199852E0,-5.370439911E1,5.652098195E1
8.340461073E1,-1.740939903E1,-3.403800011E0,-5.275279999E1,5.565546636E1
8.341462611E1,-1.761680031E1,-3.550199986E0,-5.243560028E1,5.542966489E1
8.342462635E1,-1.755579948E1,-3.269599915E0,-5.335059738E1,5.625995574E1
8.343462611E1,-1.704339981E1,-3.001199961E0,-5.328960037E1,5.602915479E1
8.344462684E1,-1.919059944E1,-3.733199835E0,-5.571739960E1,5.904781542E1
8.345462635E1,-1.794619942E1,-3.611199856E0,-5.413139725E1,5.714293487E1
8.346462635E1,-1.704339981E1,-3.062199831E0,-5.261859894E1,5.539468837E1
8.347462684E1,-1.779979897E1,-3.245199919E0,-5.364339828E1,5.661252817E1
8.348462660E1,-1.743379974E1,-3.220799923E0,-5.289920044E1,5.579100584E1
8.349462489E1,-1.799499893E1,-3.208600044E0,-5.282600021E1,5.589902861E1
8.350463661E1,-1.809259987E1,-3.184200048E0,-5.350919724E1,5.657486623E1
8.351462635E1,-1.799499893E1,-2.964599848E0,-5.310659790E1,5.615086446E1
8.352462635E1,-1.856839943E1,-3.306200027E0,-5.414360046E1,5.733450869E1
8.353462611E1,-1.865379906E1,-3.342799902E0,-5.382640076E1,5.706505015E1
8.354462635E1,-1.733619881E1,-3.110999823E0,-5.344820023E1,5.627550281E1
8.355462635E1,-1.748259926E1,-3.550199986E0,-5.316759872E1,5.608064506E1
8.356462660E1,-1.767779922E1,-3.696599960E0,-5.286259842E1,5.586254334E1
8.357462660E1,-1.761680031E1,-3.659999847E0,-5.349699783E1,5.644179328E1
8.358462635E1,-1.760459900E1,-3.659999847E0,-5.316759872E1,5.612585018E1
8.359462806E1,-1.819019890E1,-3.903999805E0,-5.369219971E1,5.682408697E1
8.360461122E1,-1.747039986E1,-3.977200031E0,-5.306999969E1,5.601301508E1
8.361463270E1,-1.672620010E1,-3.916199923E0,-5.321640015E1,5.592036871E1
8.362462562E1,-1.738500023E1,-4.440799713E0,-5.293579865E1,5.589416529E1
8.363461146E1,-1.783639908E1,-4.428599834E0,-5.435099792E1,5.737404120E1
8.364462660E1,-1.759239960E1,-4.709199905E0,-5.391180038E1,5.690475646E1
8.365462611E1,-1.804380035E1,-4.916599751E0,-5.116679764E1,5.447745281E1
8.366462635E1,-1.808040047E1,-4.989799976E0,-5.159379959E1,5.489735095E1
8.367462635E1,-1.489620018E1,-3.867399931E0,-5.049580002E1,5.278900815E1
8.368462684E1,-1.626259995E1,-4.355400085E0,-5.214279938E1,5.479336816E1
8.369460438E1,-1.557940006E1,-4.074800014E0,-5.148399734E1,5.394370848E1
