"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.045314618E0,1.034560013E1,-1.811455994E2,1.115079975E1,1.817831124E2
1.055315106E0,8.210599899E0,-1.813896027E2,8.503399849E0,1.817743373E2
1.065327557E0,7.722599983E0,-1.816579895E2,8.661999702E0,1.820282779E2
1.075327069E0,7.454199791E0,-1.815238037E2,8.893799782E0,1.818943542E2
1.085327313E0,5.721799850E0,-1.819141998E2,7.454199791E0,1.821567462E2
1.095327557E0,4.245599747E0,-1.820849915E2,6.697799683E0,1.822575918E2
1.105327557E0,7.685999870E-1,-1.829512024E2,4.062600136E0,1.829979178E2
1.115329022E0,1.049199939E0,-1.826584015E2,4.501800060E0,1.827168812E2
1.125330731E0,-7.929999828E-1,-1.829145966E2,3.233000040E0,1.829448845E2
1.135327313E0,-3.001199961E0,-1.840003967E2,2.171599865E0,1.840376838E2
1.145318280E0,-1.610399961E0,-1.829389954E2,3.367199898E0,1.829770681E2
1.155326825E0,-1.232200027E0,-1.830975952E2,4.038199902E0,1.831462660E2
1.165327557E0,-2.000799894E0,-1.833537903E2,3.245199919E0,1.833934212E2
1.175327069E0,-2.744999886E0,-1.832805939E2,2.073999882E0,1.833128817E2
1.185327313E0,-2.317999840E0,-1.832073975E2,1.097999960E-1,1.832220938E2
1.195326825E0,-3.233000040E0,-1.837686005E2,5.489999652E-1,1.837978569E2
1.205327313E0,-2.366800070E0,-1.831707916E2,6.222000122E-1,1.831871387E2
1.215327557E0,-3.269599915E0,-1.835977936E2,6.099999696E-2,1.836269147E2
1.225327557E0,-2.818199873E0,-1.832195892E2,9.759999812E-2,1.832412881E2
1.235314374E0,-2.805999994E0,-1.834757996E2,3.659999967E-1,1.834976202E2
1.245327313E0,-2.525399923E0,-1.833537903E2,3.050000072E-1,1.833714347E2
1.255327802E0,-2.562000036E0,-1.831829987E2,-1.829999983E-1,1.832010053E2
1.265327313E0,-5.380199909E0,-1.845859985E2,-1.439599991E0,1.846700026E2
1.275326825E0,-6.197599888E0,-1.847689972E2,-3.977200031E0,1.849156853E2
1.285327313E0,-4.794600010E0,-1.843907928E2,-2.635200024E0,1.844719408E2
1.295327313E0,-4.428599834E0,-1.843542023E2,-4.062600136E0,1.844521323E2
1.305314374E0,-4.111400127E0,-1.840858002E2,-4.257800102E0,1.841809282E2
1.315327069E0,-4.770199776E0,-1.845249939E2,-6.710000038E0,1.847085604E2
1.325327557E0,-4.770199776E0,-1.847689972E2,-6.648999691E0,1.849501185E2
1.335322675E0,-5.026400089E0,-1.843663940E2,-8.430199623E0,1.846274633E2
1.345327313E0,-4.257800102E0,-1.845859985E2,-9.479399681E0,1.848782809E2
1.355326825E0,-4.026000023E0,-1.843419952E2,-1.163879967E1,1.847529203E2
1.365327313E0,-3.989399910E0,-1.842687988E2,-1.143139935E1,1.846661377E2
1.375327557E0,-2.940199852E0,-1.840370026E2,-9.711199760E0,1.843164954E2
1.385327557E0,-3.794199944E0,-1.835612030E2,-1.283440018E1,1.840484529E2
1.395326825E0,-4.843400002E0,-1.845372009E2,-1.418859959E1,1.851452225E2
1.405327313E0,-4.599400043E0,-1.838173981E2,-1.439599991E1,1.844376185E2
1.415314618E0,-3.769799948E0,-1.833537903E2,-1.395679951E1,1.839228535E2
1.425327313E0,-4.757999897E0,-1.837442017E2,-1.476200008E1,1.843976325E2
1.435322675E0,-5.538799763E0,-1.832561951E2,-1.637240028E1,1.840694620E2
